title,author,is_loaned,copies,genre,year,requests,currently_loaned,waiting_list
The Catcher in the Rye,J.D. Salinger,No,3,Fiction,1951,0,0,b'\x80\x04]\x94.'
To Kill a Mockingbird,Harper Lee,Yes,2,Fiction,1960,2,2,b'\x80\x04]\x94.'
The Great Gatsby,F. Scott Fitzgerald,No,4,Classic,1925,0,0,b'\x80\x04]\x94.'
Moby Dick,Herman Melville,No,1,Adventure,1851,0,0,b'\x80\x04]\x94.'
Pride and Prejudice,Jane Austen,No,3,Romance,1813,0,0,b'\x80\x04]\x94.'
War and Peace,Leo Tolstoy,No,2,Historical Fiction,1869,0,0,b'\x80\x04]\x94.'
Great Expectations,Charles Dickens,No,3,Classic,1861,0,0,b'\x80\x04]\x94.'
Crime and Punishment,Fyodor Dostoevsky,Yes,1,Psychological Drama,1866,3,1,b'\x80\x04]\x94.'
The Brothers Karamazov,Fyodor Dostoevsky,No,3,Philosophy,1880,0,0,b'\x80\x04]\x94.'
The Divine Comedy,Dante Alighieri,Yes,1,Epic Poetry,1320,1,1,b'\x80\x04]\x94.'
Jane Eyre,Charlotte Brontë,No,1,Gothic Fiction,1847,0,0,b'\x80\x04]\x94.'
Wuthering Heights,Emily Brontë,No,4,Gothic Romance,1847,0,0,b'\x80\x04]\x94.'
Anna Karenina,Leo Tolstoy,Yes,2,Fiction,1877,2,2,b'\x80\x04]\x94.'
Madame Bovary,Gustave Flaubert,No,3,Realism,1857,0,0,b'\x80\x04]\x94.'
The Iliad,Homer,Yes,1,Epic Poetry,-750,1,1,b'\x80\x04]\x94.'
The Sound and the Fury,William Faulkner,No,2,Modernism,1929,0,0,b'\x80\x04]\x94.'
Invisible Man,Ralph Ellison,Yes,1,Fiction,1952,1,1,b'\x80\x04]\x94.'
Beloved,Toni Morrison,Yes,3,Historical Fiction,1987,3,3,b'\x80\x04]\x94.'
Slaughterhouse-Five,Kurt Vonnegut,Yes,2,Science Fiction,1969,2,2,b'\x80\x04]\x94.'
Brave New World,Aldous Huxley,No,5,Dystopian,1932,0,0,b'\x80\x04]\x94.'
Heart of Darkness,Joseph Conrad,Yes,3,Adventure,1899,3,3,b'\x80\x04]\x94.'
The Grapes of Wrath,John Steinbeck,No,2,Fiction,1939,0,0,b'\x80\x04]\x94.'
Of Mice and Men,John Steinbeck,Yes,1,Tragedy,1937,1,1,b'\x80\x04]\x94.'
The Old Man and the Sea,Ernest Hemingway,No,3,Fiction,1952,1,1,b'\x80\x04]\x94.'
The Hobbit,J.R.R. Tolkien,Yes,4,Fantasy,1937,4,4,b'\x80\x04]\x94.'
The Lord of the Rings,J.R.R. Tolkien,Yes,2,Fantasy,1954,2,2,b'\x80\x04]\x94.'
Harry Potter and the Philosopher's Stone,J.K. Rowling,No,7,Fantasy,1997,0,0,b'\x80\x04]\x94.'
A Game of Thrones,George R.R. Martin,Yes,5,Fantasy,1996,5,5,b'\x80\x04]\x94.'
The Name of the Wind,Patrick Rothfuss,No,3,Fantasy,2007,0,0,b'\x80\x04]\x94.'
Mistborn: The Final Empire,Brandon Sanderson,Yes,4,Fantasy,2006,4,4,b'\x80\x04]\x94.'
The Handmaid's Tale,Margaret Atwood,No,3,Dystopian,1985,0,0,b'\x80\x04]\x94.'
The Odyssey,Homer,Yes,2,Epic Poetry,-800,2,2,b'\x80\x04]\x94.'
78,hgjh,No,2,Classic,44,0,0,b'\x80\x04]\x94.'
